UtcTime,QuaternionNormRaw,ValidQuaternion,BodyRateXDegps,BodyRateYDegps,BodyRateZDegps,TotalRateDegps,StableRateFlag,ElevationDeg,AzimuthDeg,RangeKm,Sunlit,NadirErrorDeg,SunErrorDeg,GroundStationPointingErrorDeg,VisibleFromZhongli,SensorCandidateAtTelemetryTime
22-Apr-2026 04:24:32,0.99226272206158,1,-0.023350606,0.03682717,-0.008716372,0.0444687125023709,1,-32.5159526370905,345.933269091802,7870.40235103415,1,83.244816273689,89.5630059697534,132.698000002934,0,0
22-Apr-2026 04:24:42,0.992262891195962,1,-0.02212238,0.031583678,0.0036127833,0.0387295832154807,1,-32.8315870573873,345.636817203377,7922.90399886581,1,83.7378192432355,89.6087577838746,132.912585935195,0,0
22-Apr-2026 04:24:52,0.992261796206358,1,-0.015591598,0.038892463,-0.0015626058,0.0419304584196997,1,-33.1472232298171,345.342993575489,7975.29711103713,1,84.1944128405836,89.6399180698344,133.104714258484,0,0
22-Apr-2026 04:25:02,0.992261696041668,1,-0.016387897,0.046179708,0.00820844,0.0496840727626216,1,-33.4628572056595,345.051720028919,8027.57742800701,1,84.6436186523027,89.6670547959873,133.292134275204,0,0
22-Apr-2026 04:25:12,0.992261557115411,1,-0.022033129,0.043463066,-0.0019583732,0.0487681464199889,1,-33.7784851150342,344.762919778028,8079.740753337,1,85.095903064026,89.6915101347162,133.481937421404,0,0
22-Apr-2026 04:25:22,0.992262131258123,1,-0.017560134,0.04330917,0.0030032054,0.0468301372500812,1,-34.0941033110171,344.476517569137,8131.78297700016,1,85.5228532573664,89.7219941668023,133.650937101769,0,0
22-Apr-2026 04:25:32,0.992261749152213,1,-0.020532502,0.038119134,0.0005314007,0.0433005127220674,1,-34.409708182141,344.192439396382,8183.70004385066,1,86.0002441794888,89.7353959707164,133.860968490962,0,0
22-Apr-2026 04:25:42,0.992261847814227,1,-0.015968211,0.03547139,0.000577848,0.0389042051632433,1,-34.7252963011641,343.910612657206,8235.48797762538,1,86.4835761728386,89.7360093506976,134.078863309764,0,0
22-Apr-2026 04:25:52,0.992261013298757,1,-0.021337993,0.03536044,-0.004382807,0.0415316705594766,1,-35.0408643501293,343.630966016145,8287.14286799767,1,86.9541149552297,89.7451554596028,134.284158844242,0,0
22-Apr-2026 04:26:02,0.992260317004323,1,-0.016682032,0.037738364,0.003172256,0.0413828166897211,1,-35.3564090391042,343.353429240866,8338.6608567647,1,87.4307515782794,89.7535964410057,134.49338748886,0,0
22-Apr-2026 04:26:12,0.992260739406643,1,-0.014471203,0.035086486,-0.0042707357,0.0381931459756153,1,-35.6719272413123,343.077933363264,8390.0381594224,1,87.8846377700773,89.7762353785267,134.681089860847,0,0
22-Apr-2026 04:26:22,0.992260967087958,1,-0.022219893,0.03495961,-0.009208953,0.0424346885418022,1,-35.9874159160116,342.804410531823,8441.27105195565,1,88.3467546622321,89.7925263901115,134.876167342074,0,0
22-Apr-2026 04:26:32,0.992260924880049,1,-0.02747826,0.03978873,-0.009140564,0.0492112560079358,1,-36.3028720251987,342.532793836651,8492.35585681994,1,88.8198848156621,89.8083813706304,135.078508851227,0,0
22-Apr-2026 04:26:42,0.992261182888402,1,-0.022745801,0.032112557,-0.004073374,0.0395623578159053,1,-36.6182926763684,342.263017501747,8543.28896559942,1,89.3003474723398,89.8189478022767,135.287171361602,0,0
22-Apr-2026 04:26:52,0.992261876642746,1,-0.02802664,0.039418794,-0.0065065087,0.0488023413943144,1,-36.9336750426235,341.995016725068,8594.06682546481,1,89.7836156487776,89.8306004263749,135.496780282539,0,0
22-Apr-2026 04:27:02,0.992263010153021,1,-0.018306253,0.036719937,-0.0039492003,0.0412197629201515,1,-37.2490162777275,341.728727493295,8644.68592503766,1,90.2575248317714,89.8490132583698,135.696851463229,0,0
